vglvl,A,B,edge_mid
1.0,0.0,1.0,edge
0.9975000023841858,1.3660202911686417,0.9974863671562506,edge
0.9950000047683716,5.4444377733221,0.9949456103405914,edge
0.9900000095367432,21.650573937959223,0.9897836036972696,edge
0.9850000143051147,48.442627746753296,0.9845157378775062,edge
0.9800000190734863,85.64481845272388,0.9791437706887711,edge
0.9700000286102295,190.57648756765113,0.968094563434271,edge
0.9599999785423279,335.04031139148105,0.9566499750286326,edge
0.949999988079071,517.6283148282046,0.9448242044309145,edge
0.9399999976158142,736.9349965531336,0.9326312470503144,edge
0.9300000071525574,991.5541105894922,0.9200851653466,edge
0.9200000166893005,1280.0794109607264,0.9072000217795368,edge
0.9100000262260437,1601.1046516901042,0.8939898788088922,edge
0.8999999761581421,1953.2257754684233,0.8804687174037089,edge
0.8799999952316284,2745.120082066053,0.852549993211031,edge
0.8600000143051147,3644.514180941636,0.8235562710955735,edge
0.8399999737739563,4640.161203782613,0.7935999601364128,edge
0.8199999928474426,5720.8052203291645,0.7627937388442456,edge
0.800000011920929,6875.199092185549,0.7312500189989801,edge
0.7699999809265137,8720.465354847303,0.6827976250782608,edge
0.7400000095367432,10668.384108482616,0.6333187658518552,edge
0.699999988079071,13359.675510266401,0.5664062299765648,edge
0.6499999761581421,16748.398122246537,0.48251949143595996,edge
0.6000000238418579,20000.398109865175,0.4000000387430195,edge
0.550000011920929,22939.90202539639,0.3206054871669039,edge
0.5,25391.124500006445,0.24609374999999994,edge
0.44999998807907104,27178.284157966795,0.178222640999593,edge
0.4000000059604645,28125.599344122413,0.11875000651925804,edge
0.3499999940395355,28057.28989934435,0.06943358854623526,edge
0.30000001192092896,26797.574756345126,0.032031257357448745,edge
0.25,24170.671125009656,0.008300781250000007,edge
0.20000000298023224,20000.79949803054,4.163336342344337e-17,edge
0.15000000596046448,15000.849746051437,0.0,edge
0.10000000149011612,10000.89924902171,0.0,edge
0.05000000074505806,5000.949124517292,0.0,edge
0.0,0.9990000128746033,0.0,edge
