vglvl,A,B,edge_mid
1.0,0.0,1.0,edge
0.9975000023841858,13.863510872589359,0.9974863671562506,edge
0.9950000047683716,30.439418936163747,0.9949456103405914,edge
0.9900000095367432,71.64053626364148,0.9897836036972696,edge
0.9850000143051147,123.42757123527736,0.9845157378775062,edge
0.9800000190734863,185.62474310408925,0.9791437706887711,edge
0.9700000286102295,340.5463745446996,0.968094563434271,edge
0.9599999785423279,535.0004586578907,0.9566499750286326,edge
0.949999988079071,767.5784244202969,0.9448242044309145,edge
0.9399999976158142,1036.8750684709084,0.9326312470503144,edge
0.9300000071525574,1341.4841448329498,0.9200851653466,edge
0.9200000166893005,1679.9994075298664,0.9072000217795368,edge
0.9100000262260437,2051.014610584927,0.8939898788088922,edge
0.8999999761581421,2453.125994652607,0.8804687174037089,edge
0.8799999952316284,3345.000225901602,0.852549993211031,edge
0.8600000143051147,4344.374249428551,0.8235562710955735,edge
0.8399999737739563,5440.001494884571,0.7935999601364128,edge
0.8199999928474426,6620.625436082488,0.7627937388442456,edge
0.800000011920929,7874.9992325902385,0.7312500189989801,edge
0.7699999809265137,9870.235680192718,0.6827976250782608,edge
0.7400000095367432,11968.12432080508,0.6333187658518552,edge
0.699999988079071,14859.375869855274,0.5664062299765648,edge
0.6499999761581421,18498.048591427505,0.48251949143595996,edge
0.6000000238418579,21999.998390674555,0.4000000387430195,edge
0.550000011920929,25189.45241579786,0.3206054871669039,edge
0.5,27890.625000000004,0.24609374999999994,edge
0.44999998807907104,29927.73476755245,0.178222640999593,edge
0.4000000059604645,31124.99991431832,0.11875000651925804,edge
0.3499999940395355,31306.64057913235,0.06943358854623526,edge
0.30000001192092896,30296.875396743377,0.032031257357448745,edge
0.25,27919.921875,0.008300781250000007,edge
0.20000000298023224,24000.00028312206,4.163336342344337e-17,edge
0.15000000596046448,19250.000566244125,0.0,edge
0.10000000149011612,14500.000141561031,0.0,edge
0.05000000074505806,9750.000070780516,0.0,edge
0.0,5000.0,0.0,edge
