vglvl,A,B,P,edge_mid
1.0,0.0,1.0,100000.0,edge
0.9849998982589828,4.804826,0.984952,98500.00482600002,edge
0.9699994519945198,659.3752000000001,0.963406,96999.97519999999,edge
0.9549993499934999,1313.48,0.941865,95499.98,edge
0.9399995099951,1961.311,0.920387,94000.011,edge
0.9249992599925999,2609.201,0.898908,92500.001,edge
0.9099989099890999,3257.081,0.877429,90999.981,edge
0.8949989599895998,3898.201,0.856018,89500.00099999999,edge
0.8799987099871,4533.901,0.8346609,87999.99100000001,edge
0.8649986599865999,5169.611,0.8133039,86500.001,edge
0.8499986099860999,5805.321,0.7919469,85000.011,edge
0.8349984899848998,6436.264,0.7706375,83500.014,edge
0.8199983799837998,7062.197999999999,0.7493782,82000.018,edge
0.7999982199821998,7883.4220000000005,0.721166,80000.022,edge
0.7749975699756998,8909.992,0.6858999,77499.982,edge
0.7499976099760998,9936.521,0.6506349,75000.011,edge
0.7249973499734996,10918.17,0.6158184,72500.01,edge
0.6999970999709998,11895.86,0.5810415,70000.01000000001,edge
0.6749968499684996,12869.59,0.5463042,67500.01,edge
0.6374965749657496,14291.0,0.4945902,63750.02,edge
0.5999961999619996,15626.0,0.4437402,60000.02,edge
0.5624957249572496,16960.9,0.3928911,56250.01,edge
0.5249953499534995,18161.9,0.3433811,52500.01,edge
0.48749497494974947,19309.7,0.2944031,48750.009999999995,edge
0.4499945999459994,20325.899999999998,0.2467411,45000.009999999995,edge
0.41249422494224947,21215.0,0.2003501,41250.01,edge
0.3749938499384994,21877.600000000002,0.1562241,37500.01,edge
0.3374934749347493,22389.8,0.1136021,33750.009999999995,edge
0.28807594075940757,22436.3,0.06372006,28808.305999999997,edge
0.24486748867488675,21686.5,0.02801004,24487.504,edge
0.2081441064410644,20119.2,0.006960025,20815.2025,edge
0.17692177739318693,17693.0,8.175413e-09,17693.0008175413,edge
0.15038450384503843,15039.3,0.0,15039.3,edge
0.12782827828278284,12783.7,0.0,12783.7,edge
0.1086540865408654,10866.3,0.0,10866.3,edge
0.09235664356643566,9236.572,0.0,9236.572,edge
0.0785030950309503,7851.231,0.0,7851.231,edge
0.0665940759407594,6660.340999999999,0.0,6660.340999999999,edge
0.05637847378473785,5638.791,0.0,5638.791,edge
0.04763438634386343,4764.391,0.0,4764.391,edge
0.040165811658116585,4017.541,0.0,4017.541,edge
0.03380034800348003,3381.0009999999997,0.0,3381.0009999999997,edge
0.028358093580935807,2836.781,0.0,2836.781,edge
0.023720647206472063,2373.0409999999997,0.0,2373.0409999999997,edge
0.01978179781797818,1979.1599999999999,0.0,1979.1599999999999,edge
0.01644726447264473,1645.71,0.0,1645.71,edge
0.013633536335363353,1364.34,0.0,1364.34,edge
0.011267012670126702,1127.69,0.0,1127.69,edge
0.009283034830348305,929.2942,0.0,929.2942,edge
0.007609918099180992,761.9842,0.0,761.9842,edge
0.006206863068630687,621.6801,0.0,621.6801,edge
0.005036851368513686,504.68010000000004,0.0,504.68010000000004,edge
0.004066611666116661,407.6571,0.0,407.6571,edge
0.0032664636646366463,327.6431,0.0,327.6431,edge
0.0026102371023710236,262.0211,0.0,262.0211,edge
0.002074990749907499,208.497,0.0,208.497,edge
0.0016408064080640807,165.079,0.0,165.079,edge
0.0012905229052290524,130.05100000000002,0.0,130.05100000000002,edge
0.0010094500945009449,101.94399999999999,0.0,101.94399999999999,edge
0.0007851419514195141,79.51341,0.0,79.51341,edge
0.0006067851678516785,61.677910000000004,0.0,61.677910000000004,edge
0.0004658107581075811,47.58061,0.0,47.58061,edge
0.00035504465044650444,36.50411,0.0,36.50411,edge
0.00026852878528785284,27.85261,0.0,27.85261,edge
0.00020135101351013513,21.134900000000002,0.0,21.134900000000002,edge
0.00014949649496494966,15.9495,0.0,15.9495,edge
0.00010970409704097041,11.9703,0.0,11.9703,edge
7.934581345813459e-05,8.934502,0.0,8.934502,edge
5.6000570005700056e-05,6.600001,0.0,6.600001,edge
3.7585385853858535e-05,4.758501,0.0,4.758501,edge
2.270022700227002e-05,3.27,0.0,3.27,edge
1.000010000100001e-05,2.0,0.0,2.0,edge
0.0,1.0,0.0,1.0,edge

