vglvl,A,B,edge_mid
1.0,0.0,1.0,edge
0.9975000023841858,13.863510872589359,0.9974863671562506,edge
0.9945999979972839,33.341859079029746,0.9945365795066294,edge
0.9912999868392944,59.90296605546064,0.9911359578367751,edge
0.987500011920929,96.22180034072335,0.9871627933214753,edge
0.9830999970436096,145.84594018778353,0.9824865377895513,edge
0.9781000018119812,211.9529134870745,0.9770754725865114,edge
0.9722999930381775,301.36341237499346,0.9706713592625187,edge
0.9656999707221985,419.39987237944933,0.9632209734622941,edge
0.9580000042915344,578.5105300082896,0.9543148987768748,edge
0.9491999745368958,787.7899020300656,0.9438620767897503,edge
0.9391000270843506,1062.8639333447954,0.9315163863966851,edge
0.9275000095367432,1422.9891870218044,0.916895117189688,edge
0.9140999913215637,1895.0588138098783,0.8994444036173868,edge
0.8986999988555908,2507.6097676368345,0.8786889012364429,edge
0.8809999823570251,3297.7604404570247,0.8539723788346036,edge
0.8607000112533569,4307.705319965445,0.8245879574910346,edge
0.8373000025749207,5594.669801062233,0.7894883044355523,edge
0.8104000091552734,7214.213066202846,0.7477378780354813,edge
0.7795000076293945,9225.499848002333,0.6982700087679015,edge
0.7439000010490417,11690.932312859448,0.6397956778679952,edge
0.70660001039505,14378.18818725155,0.577488128002782,edge
0.6693000197410583,17100.095881179142,0.514834059942214,edge
0.6320000290870667,19783.677941217393,0.4525632482205394,edge
0.5946000218391418,22362.639135422094,0.3912436293929638,edge
0.5572999715805054,24750.048960739816,0.33193448339408194,edge
0.5199999809265137,26880.00101089474,0.2751999717712406,edge
0.482699990272522,28679.52181432024,0.22176977261569347,edge
0.4453999996185303,30075.63391759152,0.17237366046168856,edge
0.4081000089645386,30995.359867283725,0.12774140984347435,edge
0.3707999885082245,31365.722266983586,0.08860276641297737,edge
0.3352000117301941,31139.797254808596,0.057042038595598435,edge
0.3012999892234802,30339.67867953942,0.03283820296691202,edge
0.26899999380111694,28995.40023128937,0.015595991798167425,edge
0.23829999566078186,27147.423889821428,0.0049107569795284675,edge
0.20890000462532043,24818.43720097123,0.00027063238434209616,edge
0.1809999942779541,22194.99945640564,0.0,edge
0.1543000042438507,19658.500403165817,0.0,edge
0.12890000641345978,17245.50060927868,0.0,edge
0.1046999990940094,14946.499913930893,0.0,edge
0.08160000294446945,12752.000279724598,0.0,edge
0.05959999933838844,10661.999937146902,0.0,edge
0.038600001484155655,8667.000140994787,0.0,edge
0.01860000006854534,6767.000006511807,0.0,edge
0.0,5000.0,0.0,edge
